ChEMBL ID,SMILES,MW,IC50,Standard Units,Target ChEMBL ID,Target Name,IC50_nM
CHEMBL205422,CC(=O)Nc1cccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)c1,400.48,12030.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,12030.0
CHEMBL381785,CC(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,400.48,227.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,227.0
CHEMBL207530,N[C@H](COc1cncc(-c2nc(-c3cccnc3)cs2)c1)Cc1ccccc1,388.5,9350.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,9350.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.54,290.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,290.0
CHEMBL3701743,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cccnc3-4)cc2)C1,424.5,11.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,11.0
CHEMBL3356433,Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,451.53,1.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1.0
CHEMBL3701755,NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3nccnc3-4)cc2)CC(O)(C2CC2)C1,451.53,5.4,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,5.4
CHEMBL3649665,COC(=O)c1ccccc1-c1nc2ccc(-c3cccc(N4CCOCC4)c3)nc2n1-c1ccc(C2(N)CCC2)cc1,559.67,12.6,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,12.6
CHEMBL3355020,N#Cc1cnc(N)nc1N1CCC[C@H]1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1,477.45,230.0,nM,CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",230.0
CHEMBL1080911,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,432.48,357.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,357.0
CHEMBL3701726,NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3c(F)cccc3-4)cc2)CC(O)(C2CC2)C1,467.54,2.3,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,2.3
CHEMBL1081437,N[C@H](CNc1nnc(-c2ccc3[nH]nc(C4CC4)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,458.51,181.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,181.0
CHEMBL564829,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,460.59,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL1170445,N[C@]1(CNC(=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]cc(Cl)c23)C1,405.29,3.3,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,3.3
CHEMBL1170447,N#Cc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,397.39,1860.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1860.0
CHEMBL270815,Nc1nc(O)nc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)cc12,543.63,244.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,244.0
CHEMBL429576,N#Cc1cc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1N,500.61,495.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,495.0
CHEMBL270388,N#Cc1cc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cl,520.04,253.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,253.0
CHEMBL253458,Nc1ncnc2nc(-c3ccc(CN4CCC(n5ncc6c(N)ncnc65)CC4)cc3)c(-c3ccccc3)cc12,528.62,295.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,295.0
CHEMBL402579,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ncnc(N)c4cc3-c3ccccc3)cc2)CC1,525.66,221.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,221.0
CHEMBL2177826,Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,488.6,3700.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,3700.0
CHEMBL2177832,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,497.56,3200.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,3200.0
CHEMBL2177826,Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,488.6,2100.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,2100.0
CHEMBL2177816,Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,302.34,740.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,740.0
CHEMBL2177835,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,496.57,410.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,410.0
CHEMBL2177837,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,515.55,95.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,95.0
CHEMBL2177828,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5cccc(F)c5)cc4)c3n2)c1,571.62,90.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,90.0
CHEMBL2177827,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5ccccc5)cc4)c3n2)c1,553.63,47.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,47.0
CHEMBL2177836,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1,571.62,44.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,44.0
CHEMBL1254115,CC(C)(C)n1nc(Cc2cccc(I)c2)c2c(N)ncnc21,407.26,28.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,28.0
CHEMBL2325742,C[C@@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,398.9,276.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,276.0
CHEMBL1254115,CC(C)(C)n1nc(Cc2cccc(I)c2)c2c(N)ncnc21,407.26,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177818,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,420.48,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL2177362,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)c(F)c4)CC3)c21,518.03,139.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,139.0
CHEMBL2177361,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,521.56,65.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,65.0
CHEMBL2177379,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCN4)CC3)c21,455.99,241.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,241.0
CHEMBL2177364,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCCCC4)c4ccc(Cl)cc4)CC3)c21,498.07,367.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,367.0
CHEMBL2177377,COCCNC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,474.01,384.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,384.0
CHEMBL2177382,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3F)CC1)c1ccc(Cl)cc1,460.0,901.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,901.0
CHEMBL2177390,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,458.01,157.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,157.0
CHEMBL2177821,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)Cc2ccccc2)cc1,434.5,660.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,660.0
CHEMBL2178597,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,523.58,3.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,3.0
CHEMBL2177364,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCCCC4)c4ccc(Cl)cc4)CC3)c21,498.07,9.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,9.0
